# GENERADO por tools/build-transitions.py - NO EDITAR A MANO
# fuente: thalos-0.0.7.md secciones 22.4 y 22.5
# formato: <maquina>\t<id>\t<desde>\t<hacia>\t<gate>\t<condicion>\t<actor>\t<evidencia>\t<evento>
# Regla 22.6.1: una transicion debe existir aca para ser permitida.
# Regla 22.6.2: toda transicion no listada se rechaza.

feature	F14	FEATURE_CHECKS_PASS	FEATURE_HUMAN_REVIEW	POLICY_GATE	needs_human	Orchestrator	PolicyDecision	thalos.feature.human_requested
feature	F15	FEATURE_CHECKS_PASS	FEATURE_MERGING	POLICY_GATE	pass	Orchestrator	PolicyDecision	thalos.feature.merge_requested
feature	F16	FEATURE_HUMAN_REVIEW	FEATURE_MERGING	HUMAN_GATE	approve	HumanApprover	HumanApproval	thalos.feature.merge_requested
feature	F17	FEATURE_HUMAN_REVIEW	FEATURE_IN_PROGRESS	HUMAN_GATE	changes	HumanApprover	HumanDecision	thalos.review.changes_requested
feature	F18	FEATURE_HUMAN_REVIEW	FEATURE_ABANDONED	HUMAN_GATE	reject	HumanApprover	HumanDecision	thalos.feature.abandoned
feature	F19	FEATURE_MERGING	FEATURE_MERGED	MERGE_GATE	pass	MergeGate	CheckRunSet,PolicyDecision,MergeResult	thalos.feature.merged
feature	F20	FEATURE_MERGING	FEATURE_BLOCKED	MERGE_GATE	fail	MergeGate	MergeGateReport	thalos.feature.blocked
feature	F21	FEATURE_MERGED	FEATURE_DONE	POST_MERGE_GATE	pass	Orchestrator	PostMergeReport,LockRelease	thalos.feature.done
feature	F22	FEATURE_MERGED	FEATURE_ESCALATED	POST_MERGE_GATE	fail	Orchestrator	PostMergeReport	thalos.escalation.triggered
feature	F23	FEATURE_BLOCKED	FEATURE_IN_PROGRESS	-	-	FeatureLead	BlockerResolution	thalos.feature.unblocked
feature	F24	FEATURE_BLOCKED	FEATURE_ESCALATED	-	timeout o attempts>=max	Orchestrator	ErrorRecord	thalos.escalation.triggered
feature	F25	FEATURE_ESCALATED	FEATURE_IN_PROGRESS	HUMAN_GATE	resume	HumanApprover	HumanDecision	thalos.feature.unblocked
feature	F26	FEATURE_ESCALATED	FEATURE_FAILED	HUMAN_GATE	abort	HumanApprover	HumanDecision	thalos.feature.failed
feature	F27	*	FEATURE_ABANDONED	HUMAN_GATE	abandon	HumanApprover	HumanDecision,LockRelease	thalos.feature.abandoned
